,PULocationID,trip_distance,fare_amount,tip_amount,total_amount,travel_duration_in_seconds,average_speed,average_fare,tip_fare_r,count,Borough,Zone,service_zone
0,1,3.0637499999999998,13.875,3.29125,19.528749999999995,999.75,11.516827866871118,7.216029122845149,0.23508313430635414,8,EWR,newark airport,EWR
1,2,6.125454545454545,20.636363636363637,4.429090909090909,26.410909090909094,1085.5454545454545,20.128636485300806,4.331401460311619,0.21932711957250028,11,Queens,jamaica bay,Boro Zone
2,3,6.655555555555555,23.27777777777778,4.6033333333333335,31.63555555555556,1472.5555555555557,16.134911080833724,4.446754085840236,0.20323018033414625,9,Bronx,allerton/pelham gardens,Boro Zone
3,4,2.5267680664787053,11.368986496512836,2.6190298263838163,17.091482415787656,764.7648018993916,11.597825517158158,5.476042376764496,0.24527053600093235,33695,Manhattan,alphabet city,Yellow Zone
4,6,4.0562499999999995,16.125,3.6850000000000005,24.990000000000002,997.625,15.955479996774471,5.084056663502403,0.22901713684366126,8,Staten Island,arrochar/fort wadsworth,Boro Zone
5,7,2.790816077953714,11.713877892813642,2.5725258830694577,16.20221985383596,748.9106272838003,13.398506778862124,5.158378303215162,0.23505990300041177,13136,Queens,astoria,Boro Zone
6,8,4.291923076923077,28.115384615384617,5.3305384615384614,37.990923076923096,832.3538461538461,19.02120348826808,6.934291580312132,0.2160023148026919,130,Queens,astoria park,Boro Zone
7,9,6.404285714285714,21.071428571428573,4.1642857142857155,27.215714285714284,1116.142857142857,21.03031612027969,3.961239940729978,0.21565561798268565,7,Queens,auburndale,Boro Zone
8,10,10.37982456140351,39.5140350877193,6.8558947368420995,51.07680701754386,1552.3578947368421,24.644784624687407,3.987723193272532,0.18472957422859146,285,Queens,baisley park,Boro Zone
9,11,5.498,17.506,3.7769999999999997,23.445,877.3,20.27539803770435,3.8542633878638357,0.24545614963112686,10,Brooklyn,bath beach,Boro Zone
10,12,4.005322939866357,16.052034824863334,3.637033812512639,22.83534521158177,1079.5302692852804,13.280031766456759,4.8439738940391885,0.24036421876217548,4939,Manhattan,battery park,Yellow Zone
11,13,3.5567017736568127,14.268415016315059,3.1842082081434793,20.526135431121034,912.9805511582076,13.76538851674528,4.8377139163046055,0.23715939000646277,185718,Manhattan,battery park city,Yellow Zone
12,14,4.597966101694915,16.76271186440678,3.7465536723163835,23.4317514124294,905.7062146892655,17.714953289591794,4.591305729824836,0.23654531430836384,177,Brooklyn,bay ridge,Boro Zone
13,15,6.189999999999999,20.166666666666668,3.9,25.366666666666664,925.0,23.54350014578586,4.570675658325388,0.17460130718954248,3,Queens,bay terrace/fort totten,Boro Zone
14,16,4.02375,14.195833333333333,3.24,19.113750000000007,750.8333333333334,17.858535866549285,4.595126384066334,0.2794484654730092,24,Queens,bayside,Boro Zone
15,17,2.937406593406596,12.173626373626373,2.4869597069597114,16.4653260073259,787.756043956044,12.741811021932355,5.161904937309093,0.21788930770784373,1365,Brooklyn,bedford,Boro Zone
16,18,4.886153846153847,17.46153846153846,3.193589743589744,23.00230769230769,1015.7435897435897,15.692688101213044,4.41631649306043,0.20523627708650166,39,Bronx,bedford park,Boro Zone
17,19,3.3890909090909096,12.621212121212121,2.9557575757575756,18.379090909090902,674.1212121212121,17.36789036784232,4.662845622522421,0.2500869287900379,33,Queens,bellerose,Boro Zone
18,20,5.356129032258065,18.403225806451612,4.314193548387096,25.25709677419355,1048.4193548387098,17.20364270044965,4.514159404331168,0.2369171557935784,31,Bronx,belmont,Boro Zone
19,21,4.010689655172414,15.568965517241379,3.3917241379310346,21.190689655172413,881.3103448275862,15.45309452941153,4.783768713090531,0.2459971024978383,29,Brooklyn,bensonhurst east,Boro Zone
20,22,3.319999999999999,13.823529411764707,3.0752941176470587,19.02352941176471,915.2941176470588,12.593829511408657,5.365731682352035,0.22764302447826812,34,Brooklyn,bensonhurst west,Boro Zone
21,23,3.522941176470588,13.382352941176471,3.293529411764706,19.107647058823527,736.2352941176471,15.501025517998812,5.683081308415355,0.2474980024060906,17,Staten Island,bloomfield/emerson hill,Boro Zone
22,24,2.321077555463796,10.687394421712527,2.4300992905139895,15.435911633322405,709.4754119899395,11.937784437313622,5.421641736296416,0.2394027423638251,53278,Manhattan,bloomingdale,Yellow Zone
23,25,3.205476068313402,12.933042585941509,2.866049256028764,17.61048376456694,810.5834493879645,13.413973012202092,5.061452037640966,0.23485560061498204,13643,Brooklyn,boerum hill,Boro Zone
24,26,3.59719512195122,14.768292682926829,2.815609756097561,20.084634146341457,997.4878048780488,12.183136957888044,5.4340255139013705,0.2089102719199806,82,Brooklyn,borough park,Boro Zone
25,27,1.7912499999999998,10.75,2.225,14.399999999999999,844.0,8.479093690384065,6.524034208497669,0.21472224997225,8,Queens,breezy point/fort tilden/riis beach,Boro Zone
26,28,7.680524590163942,32.62540983606557,6.060327868852456,43.26199999999998,1200.1327868852459,21.806051767449638,4.798228521854088,0.21005776741995935,610,Queens,briarwood/jamaica hills,Boro Zone
27,29,2.0269642857142856,10.321428571428571,2.446785714285715,15.727499999999997,715.4107142857143,10.04255175317864,6.0911532645070166,0.24939284306310264,56,Brooklyn,brighton beach,Boro Zone
28,30,6.069999999999999,19.25,1.58,22.13,972.5,21.224040367633805,4.1528161308810505,0.15830065359477125,2,Queens,broad channel,Boro Zone
29,31,5.341428571428572,19.2,3.748285714285714,26.13571428571429,1198.4,14.80955127824246,4.633233152321877,0.20957990944124574,35,Bronx,bronx park,Boro Zone
30,32,2.791428571428571,11.875,2.380357142857143,17.351785714285715,752.4642857142857,13.938678171205876,4.846632783249788,0.24314393225300404,28,Bronx,bronxdale,Boro Zone
31,33,3.8736243049119707,15.063774328081557,3.263122683039882,20.40974687210211,970.083063021316,13.821673196349163,4.809698056322986,0.22838965253278984,17264,Brooklyn,brooklyn heights,Boro Zone
32,34,3.204966442953019,13.298657718120806,2.8138590604026836,18.081812080536942,883.0402684563759,12.361144303887622,4.9651962028511,0.22220139170823985,298,Brooklyn,brooklyn navy yard,Boro Zone
33,35,4.08909090909091,16.806818181818183,3.6313636363636363,22.21772727272727,1103.7727272727273,12.965091238276932,4.796811065549559,0.2210483903865292,44,Brooklyn,brownsville,Boro Zone
34,36,4.220220385674923,15.768135904499541,3.4619191919191956,21.463360881542588,1022.6069788797062,14.221836569101619,4.3561914337371,0.23249815817229671,1089,Brooklyn,bushwick north,Boro Zone
