,BORO,PRECINCT,STATISTICAL_MURDER_FLAG,Latitude,Longitude,Lon_Lat,datetime,year,month,day,day_of_week_name
23283,BROOKLYN,67,False,40.66790942700004,-73.93260042799993,POINT (-73.93260042799993 40.66790942700004),2020-10-20 23:15:00+00:00,2020,10,23:15:00,Tuesday
23284,BRONX,52,False,40.80889802400003,-73.91436698999998,POINT (-73.91436698999998 40.80889802400003),2020-08-27 00:30:00+00:00,2020,8,00:30:00,Thursday
23285,MANHATTAN,30,False,40.75945056700005,-73.933576266,POINT (-73.933576266 40.759450567000044),2020-10-02 14:50:00+00:00,2020,10,14:50:00,Friday
23286,BRONX,44,False,40.84575054600003,-73.88783715799997,POINT (-73.88783715799997 40.84575054600003),2020-07-27 01:33:00+00:00,2020,7,01:33:00,Monday
23287,BROOKLYN,75,False,40.634411467000064,-74.11896229899996,POINT (-74.11896229899996 40.634411467000064),2020-07-26 18:38:00+00:00,2020,7,18:38:00,Sunday
23288,BROOKLYN,69,False,40.80855767700007,-73.95235475399994,POINT (-73.95235475399994 40.808557677000074),2020-11-07 14:58:00+00:00,2020,11,14:58:00,Saturday
23289,BROOKLYN,81,False,40.80067124200008,-73.94435640999995,POINT (-73.94435640999995 40.80067124200008),2020-07-16 17:19:00+00:00,2020,7,17:19:00,Thursday
23290,BROOKLYN,67,False,40.63793701400005,-73.95670300599994,POINT (-73.95670300599994 40.63793701400005),2020-12-25 13:10:00+00:00,2020,12,13:10:00,Friday
23291,QUEENS,103,True,40.70964335600007,-73.94209507399995,POINT (-73.94209507399995 40.70964335600007),2020-05-16 00:50:00+00:00,2020,5,00:50:00,Saturday
23292,BROOKLYN,69,False,40.67073208700003,-73.92537341399996,POINT (-73.92537341399996 40.67073208700003),2020-10-19 23:56:00+00:00,2020,10,23:56:00,Monday
23293,BROOKLYN,73,True,40.84736819100005,-73.90418256499999,POINT (-73.90418256499999 40.847368191000044),2020-08-12 13:58:00+00:00,2020,8,13:58:00,Wednesday
23294,STATEN ISLAND,120,False,40.82266065500005,-73.911520222,POINT (-73.911520222 40.82266065500005),2020-11-27 19:25:00+00:00,2020,11,19:25:00,Friday
23295,QUEENS,113,False,40.81035186300005,-73.92494232599995,POINT (-73.92494232599995 40.810351863000044),2020-07-06 17:05:00+00:00,2020,7,17:05:00,Monday
23296,BROOKLYN,77,False,40.68927245800006,-73.94364165399996,POINT (-73.94364165399996 40.68927245800006),2020-07-05 04:15:00+00:00,2020,7,04:15:00,Sunday
23297,BROOKLYN,77,True,40.65734573700007,-73.90319404099995,POINT (-73.90319404099995 40.65734573700007),2020-07-24 22:18:00+00:00,2020,7,22:18:00,Friday
23298,BRONX,43,False,40.80022202900005,-73.93084834199995,POINT (-73.93084834199995 40.80022202900005),2020-11-24 22:13:00+00:00,2020,11,22:13:00,Tuesday
23299,BROOKLYN,79,False,40.65348897400003,-73.90951734499998,POINT (-73.90951734499998 40.65348897400003),2020-07-03 00:25:00+00:00,2020,7,00:25:00,Friday
23300,BROOKLYN,75,False,40.82140650100007,-73.91925016899995,POINT (-73.91925016899995 40.82140650100007),2020-09-24 08:40:00+00:00,2020,9,08:40:00,Thursday
23301,BRONX,40,False,40.683067566000034,-73.95198290099995,POINT (-73.95198290099995 40.683067566000034),2020-08-29 02:40:00+00:00,2020,8,02:40:00,Saturday
23302,BRONX,42,False,40.86884213000008,-73.88004271999995,POINT (-73.88004271999995 40.868842130000075),2020-11-03 19:25:00+00:00,2020,11,19:25:00,Tuesday
23303,BROOKLYN,71,False,40.82266065500005,-73.911520222,POINT (-73.911520222 40.82266065500005),2020-09-07 02:49:00+00:00,2020,9,02:49:00,Monday
23304,QUEENS,101,True,40.67956926600005,-73.89890025799998,POINT (-73.898900258 40.679569266000044),2020-07-14 14:03:00+00:00,2020,7,14:03:00,Tuesday
