,BORO,PRECINCT,STATISTICAL_MURDER_FLAG,Latitude,Longitude,Lon_Lat,datetime,year,month,day,time,day_of_week_name
2,MANHATTAN,23,False,40.79191609,-73.94547966,POINT (-73.94547965999999 40.791916091000076),2019-02-02 19:40:00+00:00,2019,2,2,2019-02-02,Saturday
6,BROOKLYN,81,False,40.68756556,-73.93895198,POINT (-73.93895197599994 40.68756556300008),2019-03-11 16:30:00+00:00,2019,3,11,2019-03-11,Monday
8,QUEENS,114,False,40.75627543,-73.94501433,POINT (-73.94501432899995 40.75627543400003),2019-02-17 03:00:00+00:00,2019,2,17,2019-02-17,Sunday
15,BROOKLYN,67,False,40.65388611,-73.95449784,POINT (-73.95449784399995 40.65388611000003),2019-04-27 23:54:00+00:00,2019,4,27,2019-04-27,Saturday
20,QUEENS,113,False,40.68947265,-73.74979968,POINT (-73.74979967899998 40.68947265200006),2019-04-19 00:12:00+00:00,2019,4,19,2019-04-19,Friday
22,BROOKLYN,75,True,40.6656747,-73.8661555,POINT (-73.86615550299996 40.66567470000007),2019-01-01 04:26:00+00:00,2019,1,1,2019-01-01,Tuesday
26,BRONX,49,False,40.86268129,-73.86599763,POINT (-73.86599762999998 40.86268129200005),2019-02-09 19:00:00+00:00,2019,2,9,2019-02-09,Saturday
30,BRONX,48,False,40.84264633,-73.89368292,POINT (-73.89368292099994 40.84264632600008),2019-03-22 22:25:00+00:00,2019,3,22,2019-03-22,Friday
34,BRONX,44,False,40.8302116,-73.91182094,POINT (-73.91182094199996 40.83021160200008),2019-02-24 23:20:00+00:00,2019,2,24,2019-02-24,Sunday
37,BRONX,52,False,40.85938116,-73.90679705,POINT (-73.90679704999997 40.859381159000066),2019-04-14 03:03:00+00:00,2019,4,14,2019-04-14,Sunday
41,STATEN ISLAND,121,False,40.62471527,-74.16281491,POINT (-74.16281491499996 40.624715270000024),2019-01-03 23:00:00+00:00,2019,1,3,2019-01-03,Thursday
44,MANHATTAN,34,False,40.86182019,-73.92414673,POINT (-73.92414673399998 40.861820186000045),2019-02-27 18:22:00+00:00,2019,2,27,2019-02-27,Wednesday
45,BROOKLYN,71,False,40.6623217,-73.93865428,POINT (-73.93865428399994 40.662321699000074),2019-04-24 14:58:00+00:00,2019,4,24,2019-04-24,Wednesday
54,BROOKLYN,75,False,40.6774696,-73.89899718,POINT (-73.89899717699996 40.677469597000034),2019-04-08 16:00:00+00:00,2019,4,8,2019-04-08,Monday
